GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
-1.6748977,-0.5716604,0.087546416,0.49408203,-0.3554767,0.33854547,-0.39504284,-0.37483147,0.27042037,-0.30666763,0.03816921,-0.31185484,-0.13050187,0.123756416,0.061178014,0.25278994,0.070471525,-0.057361204,-0.46675774,0.08143018,-0.16072096,-0.02602106,0.2031658,-0.41672757,-0.09830847,-0.3818107,-0.017184246,0.04629515,0.08231763,-0.16875179,-0.15510468,0.13774559,-0.10749722,0.041439995,-0.09711261,0.15290813,0.011755753,-0.06319814,-0.08050387,0.0740258,0.091425925,-0.0060880342,-0.071025014,0.1687946,0.026289735,-0.088378705,-0.13311623
0.6711742,0.5609088,-0.0056559704,0.4758347,-0.34893176,0.29052854,0.053802636,0.10419754,-0.21238598,0.2739964,0.02708961,0.32356584,-0.031052787,-0.24134648,-0.20781668,-0.13191131,0.0136375725,0.01094224,-0.55414903,-0.0051559545,-0.19879203,-0.13930912,0.13833198,0.0003474485,-0.085240245,-0.4627126,-0.20425253,-0.033713374,0.10605123,-0.17188056,0.14426735,0.15048733,-0.0787317,0.026330626,-0.11909007,-0.08421082,0.03206801,-0.025160387,0.11655643,0.07748146,-0.025732119,-0.013717976,0.0627477,0.16275087,0.07996546,-0.055426676,-0.07717594
1.3405267,-0.40461248,-0.048200015,0.5486869,-0.31762698,-0.34528154,-0.07025861,0.28610417,0.1813986,-0.2268041,0.06863399,-0.14915353,0.058414094,-0.12787668,-0.074228816,-0.21504678,0.18352422,-0.23530164,-0.4517521,-0.19098295,0.10682491,-0.27676728,0.12921818,0.0756157,-0.24400304,-0.39842474,-0.1357693,-0.09931488,-0.09142333,-0.08063582,0.08831704,0.0963298,-0.11780051,-0.0665905,-0.08619079,-0.04129731,0.061954048,0.025081169,0.021105817,-0.026669279,-0.038255934,-0.044259254,0.03766479,0.15657002,0.090538725,-0.06683569,-0.064156756
0.15737435,0.66109186,-0.0071159382,0.39913496,-0.26397792,-0.35854957,-0.36729005,-0.41662234,0.20982763,0.27057624,0.056891926,0.31590807,-0.47650978,-0.17910841,-0.2689687,0.22981656,0.025019055,-0.024904763,-0.44735783,-0.015097581,-0.022306722,-0.050601557,0.13993421,-0.20671964,-0.07764825,-0.49190474,0.102692276,0.069427036,0.14954071,-0.24134621,0.12098372,0.12513816,-0.046686333,-0.0036893105,0.07971175,0.20460139,-0.30204132,-0.04319072,0.096351504,-0.07340649,-0.06595869,-0.008080097,-0.1347777,-0.1541575,0.03131899,-0.09449556,-0.11252104
0.70532346,0.5553189,0.63778174,0.5406767,-0.32995614,-0.42334053,-0.30125442,0.2581575,0.2384337,0.18849452,0.0756765,-0.14942826,0.04495989,-0.14885505,-0.1620835,-0.26510033,0.140382,-0.0067763533,-0.4869052,-0.14638159,0.060239,-0.1743388,0.108049974,-0.3716448,-0.1137731,-0.5037333,-0.110435985,0.008842133,0.11328369,-0.16553801,0.1245026,0.10621162,-0.034615755,-0.054709386,-0.085354105,0.16586597,0.00010332221,-0.016014192,0.10046854,-0.17953056,0.059199482,0.081586376,-0.23359293,-0.14515378,0.07427466,-0.0662468,-0.10264611
1.09098,-0.5070142,0.002283915,0.44820434,-0.31275254,0.37571132,0.011496836,-0.11234407,0.24183568,0.17582093,0.07961635,0.34261528,-0.13617383,0.22726247,0.07002945,-0.25995478,0.114647485,-0.21116427,-0.5751816,-0.19509444,0.093010694,-0.20985197,0.0934685,0.0782185,-0.075943954,-0.42847142,-0.025575161,-0.1430816,0.12108565,-0.12171828,-0.4707027,0.13713263,-0.12523347,0.014319189,0.08544837,0.12486215,0.08933036,-0.04595022,0.036098935,0.084012896,0.067646146,0.1072587,-0.18837897,-0.059939366,-0.106618345,-0.09174967,-0.07776781
-1.8525867,-0.25865585,0.016787186,0.5540853,-0.28767216,0.3046523,0.07036202,0.22630386,-0.44391614,0.13191192,0.027039394,-0.19548683,0.31215957,0.18735588,0.07903222,-0.31082633,0.10969192,-0.18673545,-0.52116555,0.06547332,0.050143413,-0.21569057,0.107445486,0.07146899,-0.27177143,-0.42430705,0.09355989,-0.13962281,0.11171781,-0.09744584,0.14885172,0.12925668,-0.0812363,-0.0018467789,-0.09273666,0.10196304,0.10349671,0.07141774,-0.07265328,0.13633066,-0.030308945,-0.012456658,-0.16582115,-0.110936165,-0.08040319,-0.08248067,-0.07065498
-1.3293678,-0.16932632,0.1361186,0.52811617,-0.44399166,0.23090987,0.7048337,0.19934763,0.059512913,0.1096468,0.06120658,0.30885044,-0.14214511,-0.19206709,-0.089280576,-0.21688947,-0.22664432,-0.20272453,-0.45397037,-0.043033354,-0.017938297,-0.12601025,0.12653327,0.11949037,-0.074534625,-0.43394223,-0.12883347,0.042395707,-0.24975862,-0.147724,-0.35649186,-0.14993612,-0.07427471,-0.012378524,-0.078603484,-0.053218335,0.04009462,-0.109192796,-0.26509362,-0.08060372,-0.07597072,0.035345417,0.030395195,-0.069942445,-0.08420199,0.1677078,-0.077629425
0.89643115,0.5227738,-0.7493955,0.50224954,-0.2681516,0.3533213,-0.3105413,0.10889189,0.26725954,0.2102127,0.091402456,-0.17164813,0.007523841,0.21039245,0.014585165,-0.2684196,0.2158249,-0.1376243,-0.5412026,-0.122510225,0.108405896,-0.27610236,0.17854713,0.23310457,-0.12922533,-0.46858248,0.09806703,-0.10474681,0.13553753,-0.18939708,0.14539863,0.14974822,-0.07354784,0.01019768,0.11842777,-0.08468172,0.05261823,-0.037306502,0.071082,-0.20182657,-0.037643496,-0.048395168,0.06577272,0.15775158,0.060167294,-0.060027312,-0.05631441
0.9273842,0.53848326,-0.61786455,0.5341747,-0.2790257,0.30776903,-0.38407272,0.096608385,-0.35857797,0.21379144,0.0223593,-0.15084286,0.037096865,-0.13490868,-0.17218691,-0.1747021,-0.41486797,-0.0010484373,-0.49593607,-0.052466214,0.10793591,-0.19900101,0.21309799,-0.18689552,-0.08407924,-0.4842176,0.11883062,-0.07549495,0.05228462,-0.14963885,0.10387944,0.13526459,-0.086557634,-0.042045645,-0.0901012,0.08249095,-0.21383688,0.022884257,0.018936351,0.13620372,0.08073034,-0.011979516,0.07101312,0.05355608,-0.10116073,-0.04633524,-0.053700022
-1.9467872,-0.48179212,0.27353168,0.5405121,-0.357665,0.27995408,0.051568557,0.07090984,-0.40945968,0.11853329,0.02678761,-0.20412666,-0.05469618,-0.13220263,-0.08543587,0.25852463,0.107681245,0.48937827,-0.3838942,0.03560643,0.056730833,-0.06881912,0.11730052,-0.2874882,-0.10952569,-0.40256873,-0.102131836,-0.07794862,-0.17087176,-0.0885453,-0.16970623,0.115641005,-0.09489041,-0.0022447547,-0.09393765,0.17201602,0.037287332,-0.08766978,-0.10356789,-0.08073336,-0.07513292,-0.020035995,0.054674514,-0.14694881,-0.0142751,0.14625695,-0.1349885
-1.9583156,0.4165318,0.08907488,0.5770915,-0.253196,0.3032979,0.10079646,0.2310545,-0.39466602,-0.1184689,0.031726826,0.3046138,0.23438987,0.20145757,-0.10717189,-0.30240345,-0.27056143,-0.039962675,-0.44992566,0.0085486155,0.005773036,-0.046912648,0.10128528,0.06919011,-0.101870745,-0.42528754,0.06584234,-0.117658466,-0.21281208,-0.14404799,0.109907985,0.14708027,-0.06585519,-0.06897908,-0.08101005,0.13398935,0.133655,-0.011340339,-0.065523095,-0.10025765,0.014382204,-0.00043673185,-0.073501565,-0.09116268,0.023501324,0.13164738,-0.07013587
-1.4524366,-0.3028624,0.0485562,0.550226,-0.34774336,-0.32111615,-0.43107894,0.054388493,0.21829809,0.21600072,0.034267664,-0.24847996,-0.18590237,-0.17248811,-0.08152674,-0.29826775,-0.2920341,-0.21197967,-0.41549346,0.02372884,-0.00804798,-0.15431285,0.13505575,-0.24985886,-0.27105474,-0.37778565,0.09049766,0.050504584,-0.28606254,-0.1738311,0.12140562,0.1018437,-0.061966825,-0.015944563,-0.077834085,0.17720671,0.027885642,0.044125713,0.053774886,-0.03370868,-0.07247192,0.092285834,0.059700474,0.19817896,-0.0867864,0.16363953,-0.14732009
0.9089709,0.5165026,0.27596527,0.490269,-0.2908411,0.33672917,0.021172384,-0.074843824,0.19780527,0.13971798,0.040623948,-0.2118809,-0.1107017,-0.297883,-0.060549144,-0.2965383,0.026818922,0.025214164,-0.5783532,-0.12443308,-0.15834121,-0.16560696,0.15973915,-0.23130885,0.21759194,-0.50787747,0.041654408,0.06478806,-0.1745291,-0.21560512,0.107679635,0.17013602,-0.06663962,-0.008398113,0.06924447,0.06167138,-0.002689472,-0.031220336,0.09792714,-0.017016197,0.08133329,0.013141383,-0.109737314,0.1712575,0.081128396,-0.0545512,-0.06418667
-1.548436,-0.30010653,-0.059285816,0.5289976,-0.30260733,0.2839053,-0.41468957,0.06763293,0.25808057,0.17308104,0.035259083,0.18643905,0.3037175,-0.14658345,0.039628074,0.14887916,-0.27914083,-0.20032246,-0.4587421,0.00049475767,0.08695894,-0.26435152,0.12604506,0.22625722,0.2064188,-0.43559942,-0.17321171,0.034442816,-0.30776328,-0.091689356,-0.3628167,0.1324538,-0.074328616,0.009630332,0.06822351,-0.18323329,0.042750496,-0.061720327,-0.25478995,-0.04357142,0.058751993,0.032451175,0.05843042,-0.15136582,-0.06748808,-0.054700967,-0.10307197
-1.7110956,-0.28220364,-0.10360475,0.57527936,-0.3365987,-0.36570343,-0.11413403,0.0843005,0.2119947,0.25031337,-0.012524273,0.28269592,0.3219913,-0.15564041,-0.117318794,-0.16088876,0.10178821,-0.039623786,-0.46602595,0.061513476,0.06528204,-0.13788803,0.12807815,0.06888214,-0.1180027,-0.37264168,0.08050865,-0.13204564,0.09664453,-0.17990512,0.14373949,-0.12855716,-0.088065796,-0.007096016,-0.04987634,0.16687168,0.047025997,-0.023181934,0.15272911,0.126404,-0.043136455,-0.04187389,-0.27598062,-0.10788569,-0.078270696,-0.07083132,-0.1104525
