Rank,Feature_1,Feature_2,Mean_Absolute_SHAP_Interaction
200,GPA_S1,Early intervention provided,0.0064537823
201,EXAM_AVG,Clinical takes study time,0.0064361277
202,Study_hrs_day,Sleep affects concentration,0.006397903
203,Physical health affected,Health interferes studies,0.0063917283
204,GPA_S1,Anxious about assessments,0.006388875
205,Sleep affects concentration,Rotations affect performance,0.00628194
206,Adequate supervision,Confident to complete prog,0.0062695476
207,CA_AVG,Physical health affected,0.0062351814
208,Age_group,Peer study groups effective,0.006231072
209,Adequate supervision,Lecturers approachable,0.006212354
210,Seeks help when stuck,Uses library regularly,0.006208448
211,CA_AVG,Persists when difficult,0.0061854394
212,Age_group,LAB_AVG,0.0061243623
213,Clinical takes study time,Anxious about assessments,0.0061088675
214,Takes rest breaks,Self_risk_percep,0.006077421
215,Can improve performance,Anxious about assessments,0.005995939
216,Age_group,ATT_RATE,0.0059698354
217,Age_group,Participates in clubs,0.0059626387
218,Clinical takes study time,Can improve performance,0.005958961
219,CLIN_AVG,Regular exercise,0.0059581636
220,Early intervention provided,Sleep difficulty,0.005955826
221,Study_hrs_day,Sleep_hrs,0.0059498996
222,Hopeless/unmotivated,Early intervention provided,0.0058800397
223,Manages time effectively,Burnt out,0.0058799707
224,EXAM_AVG,Completes readings,0.0058428287
225,Sleep_hrs,Can improve performance,0.005839402
226,CA_AVG,Takes rest breaks,0.0058138887
227,Self-motivates,Early intervention provided,0.005813176
228,Programme prepares for career,Peer study groups effective,0.005801795
229,Gender,Sleep difficulty,0.005801589
230,EXAM_AVG,Anxious about assessments,0.0057641016
231,LAB_AVG,Considered break,0.005739162
232,Self-motivates,Physical health affected,0.0057132924
233,Age_group,Takes rest breaks,0.005697747
234,Study_hrs_day,Adequate supervision,0.005684417
235,Seeks help when stuck,Gender,0.0056787394
236,CLIN_AVG,Seeks help when stuck,0.0056648515
237,Sleep_hrs,Understands content pre-exam,0.005623691
238,Adequate supervision,Sleep difficulty,0.0055817585
239,LAB_AVG,Takes rest breaks,0.0055544255
240,Financial_diff,Regular exercise,0.005548171
241,Study_hrs_day,Concentration in self-study,0.0055295224
242,Adequate supervision,Seeks help when stuck,0.005517315
243,Persists when difficult,ATT_RATE,0.005507294
244,Self_risk_percep,Seeks help when stuck,0.0054972083
245,Takes rest breaks,Participates in clubs,0.005482173
246,EXAM_AVG,Health interferes studies,0.0054336893
247,Age_group,Sleep_hrs,0.005388067
248,LAB_AVG,Confident in clinical skills,0.005386242
249,CLIN_AVG,Study_hrs_day,0.005367304
