,GPA_S1,Age_group,LAB_AVG,CLIN_AVG,Study_hrs_day,Sleep_hrs,Adequate supervision,Self-motivates,Programme prepares for career,Financial_diff,CA_AVG,Takes rest breaks,Concentration in self-study,Manages time effectively,Persists when difficult,Physical health affected,Lecturers approachable,Self_risk_percep,ATT_RATE,Sleep affects concentration,Peer study groups effective,Seeks help when stuck,EXAM_AVG,Hopeless/unmotivated,Sense of belonging,Gender,Completes readings,Burnt out,Clinical takes study time,Can improve performance,Health interferes studies,Employment_hrs,Takes organised notes,Early intervention provided,Participates in clubs,Confident in clinical skills,Anxious about assessments,Regular exercise,Confident to complete prog,Understands content pre-exam,Uses library regularly,Prepared for clinical assess,Considered break,Sleep difficulty,Reviews notes within 24h,Rotations affect performance,ASSIGN_LATE
Peer study groups effective,0.004761778,0.006231072,0.0048704403,0.0066573923,0.0031126235,0.0013163176,0.0014328558,0.0,0.005801795,0.0012157657,0.022528991,0.0023397584,0.0,0.0,0.0,0.0,0.006972623,0.0123968925,0.0,0.001988936,0.0,0.0052714455,0.014156506,0.009381929,0.0006631197,0.004794569,0.0,0.0011024129,0.016479371,0.0,0.00086245884,0.0,0.0,0.0010331081,0.0037212614,0.0,0.0,0.0,0.004380761,0.0025222977,0.0,0.0010767302,0.0,0.0,0.0,0.002534639,0.00079384743
Seeks help when stuck,0.027417088,0.0032325527,0.004323944,0.0056648515,0.0034048054,0.014127775,0.005517315,0.0009226859,0.0,0.0024311873,0.02862271,0.0017037424,0.013659499,0.0,0.0,0.0,0.0,0.0054972083,0.014426556,0.0014849664,0.0052714455,0.0,0.010407697,0.0,0.004553155,0.0056787394,0.0067164716,0.004499001,0.0,0.003861852,0.0023942322,0.0025224201,0.0,0.0017371129,0.0015026769,0.0,0.0,0.003442156,0.0,0.0,0.006208448,0.00822809,0.0,0.0020667282,0.0,0.0017422093,0.0
EXAM_AVG,0.02999202,0.022673968,0.039352853,0.013773626,0.009569717,0.02391977,0.0033605625,0.0127650825,0.0026446776,0.0028745541,0.009967397,0.0021704528,0.0021961988,0.0031181548,0.0,0.00934828,0.003468434,0.021622278,0.007935024,0.018723879,0.014156506,0.010407697,0.0,0.0028943853,0.0,0.0,0.0058428287,0.0,0.0064361277,0.010057683,0.0054336893,0.0035246876,0.0018141429,0.0027916573,0.0032053182,0.0029421044,0.0057641016,0.0014012476,0.003212747,0.002329274,0.0,0.001332961,0.004178423,0.0020866466,0.0025209878,0.0033558488,0.0028883612
Hopeless/unmotivated,0.0042673894,0.021353083,0.005145729,0.008781424,0.015283506,0.0012740758,0.008207471,0.0030026466,0.0035250676,0.010223005,0.014162217,0.0026145387,0.0024291633,0.0,0.002541563,0.0021268474,0.0016073436,0.003336141,0.02563076,0.0,0.009381929,0.0,0.0028943853,0.0,0.0064903647,0.0,0.0,0.0028940798,0.014054166,0.0013291626,0.0,0.0,0.0,0.0058800397,0.0,0.0,0.0024419043,0.0,0.0,0.0033021343,0.0018372177,0.00188981,0.0028583342,0.0,0.010584359,0.004733368,0.0
Sense of belonging,0.010832563,0.0037342922,0.014346537,0.0020948763,0.01860475,0.0066866637,0.000894212,0.0019852594,0.008016317,0.011763023,0.003202376,0.002521602,0.01605343,0.002217969,0.0,0.008464988,0.009265943,0.0052731372,0.0021053832,0.0029451242,0.0006631197,0.004553155,0.0,0.0064903647,0.0,0.0022547331,0.0,0.0,0.0,0.0,0.0,0.0010256146,0.0,0.0036818746,0.0070554633,0.0030211348,0.0,0.012018374,0.0,0.0011386996,0.0,0.002557729,0.0,0.0072913864,0.003000708,0.0,0.0
Gender,0.012214807,0.010398295,0.0021227882,0.004189486,0.0,0.0038048597,0.0077111265,0.0,0.0,0.0,0.0025114503,0.0,0.005300032,0.0009678385,0.0021593347,0.0,0.0,0.003013316,0.004704432,0.0,0.004794569,0.0056787394,0.0,0.0,0.0022547331,0.0,0.0018034956,0.0014562474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013684855,0.0,0.0014106347,0.0051868297,0.0009680452,0.0011672375,0.0,0.0,0.005801589,0.0,0.0,0.0
Completes readings,0.0010873448,0.0035193525,0.017734643,0.009174643,0.0,0.0,0.0,0.0,0.0,0.0022731782,0.009399352,0.005095263,0.0,0.0,0.0,0.003671205,0.001774197,0.0036208532,0.0035655734,0.0011285375,0.0,0.0067164716,0.0058428287,0.0,0.0,0.0018034956,0.0,0.0,0.0,0.0,0.0,0.0029110962,0.0,0.0,0.002643834,0.0,0.0018085464,0.0010557423,0.0019641889,0.0,0.0015834307,0.000971794,0.0,0.0,0.0,0.0026582566,0.0010208694
Burnt out,0.0020701748,0.0,0.0026814037,0.0019166574,0.0020209255,0.0014245172,0.0022907008,0.0009738747,0.015530719,0.0035454966,0.0030459308,0.0065522706,0.0,0.0058799707,0.0,0.0070493715,0.0,0.0,0.019383835,0.0,0.0011024129,0.004499001,0.0,0.0028940798,0.0,0.0014562474,0.0,0.0,0.0011297776,0.0,0.0017974891,0.0016164324,0.0,0.0027746754,0.0,0.0050145844,0.0018325017,0.00213882,0.0,0.0,0.0010153486,0.0017796963,0.004032201,0.0,0.0,0.0,0.0
Clinical takes study time,0.0066982177,0.004764032,0.010048922,0.0020678083,0.003639472,0.0014571568,0.001417485,0.0037464665,0.0,0.0049988367,0.0036004018,0.0036929208,0.0053157373,0.003955814,0.0031641494,0.0028252874,0.001875654,0.0038651775,0.005203551,0.004048841,0.016479371,0.0,0.0064361277,0.014054166,0.0,0.0,0.0,0.0011297776,0.0,0.005958961,0.0011402171,0.0022441356,0.0010792201,0.0024050167,0.0,0.0,0.0061088675,0.0,0.0015205931,0.004666966,0.0015569757,0.0,0.0009414858,0.0,0.000894335,0.012429719,0.0
Can improve performance,0.030187532,0.0019899043,0.0018030414,0.0015552673,0.0034388537,0.005839402,0.0010735724,0.0014332054,0.0069685476,0.0,0.0043976265,0.0,0.0017790381,0.0029984603,0.0026209482,0.004821175,0.0034640597,0.0032768634,0.002159073,0.0010864721,0.0,0.003861852,0.010057683,0.0013291626,0.0,0.0,0.0,0.0,0.005958961,0.0,0.0,0.002013696,0.0,0.00078352215,0.006618583,0.0,0.005995939,0.0,0.0,0.008911388,0.0,0.0013152362,0.002095106,0.0,0.0014119727,0.0008738735,0.0
